,t1,t2,t3,t4
0,1708607426.590368,1708607419.940514,1708607419.947097,1708607426.674303
0,1708607426.698493,1708607420.048268,1708607420.061075,1708607426.779677
0,1708607426.802471,1708607420.15136,1708607420.160142,1708607426.897187
0,1708607426.925234,1708607420.273266,1708607420.28562,1708607427.006964
0,1708607427.032124,1708607420.380513,1708607420.383933,1708607427.112485
0,1708607427.13686,1708607420.48654,1708607420.490715,1708607427.226244
0,1708607427.253156,1708607420.603694,1708607420.607457,1708607427.334072
0,1708607427.366151,1708607420.712976,1708607420.721679,1708607427.446748
0,1708607427.473002,1708607420.823149,1708607420.832669,1708607427.548192
0,1708607427.572614,1708607420.922409,1708607420.925637,1708607427.656818
0,1708607427.683229,1708607421.032092,1708607421.0448432,1708607427.772663
0,1708607427.798304,1708607421.148457,1708607421.148457,1708607427.878955
0,1708607427.906149,1708607421.25661,1708607421.2629259,1708607427.988453
0,1708607428.013064,1708607421.36089,1708607421.36947,1708607428.092882
0,1708607428.117194,1708607421.467001,1708607421.474503,1708607428.194438
0,1708607428.215629,1708607421.563412,1708607421.566697,1708607428.297731
0,1708607428.330157,1708607421.678834,1708607421.691453,1708607428.406712
0,1708607428.425496,1708607421.77319,1708607421.786098,1708607428.506482
0,1708607428.531796,1708607421.880308,1708607421.893036,1708607428.614101
0,1708607428.638426,1708607421.988028,1708607421.992405,1708607428.717293
0,1708607428.738543,1708607422.087358,1708607422.091007,1708607428.821839
0,1708607428.851925,1708607422.206204,1708607422.212921,1708607428.946026
0,1708607428.974538,1708607422.326551,1708607422.337311,1708607429.055918
0,1708607429.086228,1708607422.436069,1708607422.449397,1708607429.170602
0,1708607429.196601,1708607422.545647,1708607422.5493479,1708607429.275792
0,1708607429.302,1708607422.652745,1708607422.659176,1708607429.383259
0,1708607429.405771,1708607422.755677,1708607422.75986,1708607429.490876
