,t1,t2,t3,t4
0,1708611859.009155,1708611857.804939,1708611857.8165271,1708611859.343494
0,1708611859.57487,1708611858.423049,1708611858.431478,1708611859.834409
0,1708611860.063429,1708611859.034714,1708611859.03845,1708611860.493917
0,1708611860.627029,1708611859.338963,1708611859.353947,1708611860.760808
0,1708611860.891291,1708611859.562956,1708611859.5697782,1708611860.971482
0,1708611861.091828,1708611859.851458,1708611859.8698661,1708611861.267989
0,1708611861.393853,1708611860.070157,1708611860.070157,1708611861.477351
0,1708611861.681643,1708611860.466526,1708611860.470196,1708611861.87731
0,1708611862.054747,1708611860.773307,1708611860.776988,1708611862.188219
0,1708611862.314449,1708611861.285424,1708611861.296759,1708611862.708114
0,1708611862.983037,1708611862.113851,1708611862.120785,1708611863.620341
0,1708611864.214264,1708611863.12858,1708611863.136996,1708611864.5409
0,1708611865.320797,1708611864.154271,1708611864.1576228,1708611866.020068
0,1708611866.148663,1708611864.879533,1708611864.891449,1708611866.305859
0,1708611866.435797,1708611865.106949,1708611865.111927,1708611866.516721
0,1708611866.64658,1708611865.321746,1708611865.329265,1708611866.730524
0,1708611866.887636,1708611865.558478,1708611865.561767,1708611866.965288
0,1708611867.165207,1708611866.005555,1708611866.0119638,1708611867.530246
0,1708611867.756311,1708611866.609566,1708611866.61381,1708611868.018586
0,1708611868.262099,1708611867.225555,1708611867.229717,1708611868.633047
0,1708611868.758138,1708611867.434377,1708611867.442894,1708611868.847069
0,1708611868.980747,1708611867.652515,1708611867.656602,1708611869.077221
0,1708611869.194136,1708611867.864361,1708611867.868787,1708611869.268328
0,1708611869.392547,1708611868.062468,1708611868.062468,1708611869.473264
0,1708611869.595968,1708611868.269506,1708611868.273687,1708611869.683617
0,1708611869.835749,1708611868.658243,1708611868.670737,1708611870.072259
0,1708611870.207217,1708611868.890601,1708611868.898748,1708611870.304209
0,1708611870.424797,1708611869.096664,1708611869.1074018,1708611870.501485
0,1708611870.625356,1708611869.294805,1708611869.294805,1708611870.704827
0,1708611870.834716,1708611869.506284,1708611869.510532,1708611870.91924
0,1708611871.107365,1708611869.908897,1708611869.912086,1708611871.324274
0,1708611871.551995,1708611871.321918,1708611871.330557,1708611872.73299
0,1708611872.888537,1708611871.561361,1708611871.565164,1708611872.980366
0,1708611873.114941,1708611871.790543,1708611871.803431,1708611873.206133
0,1708611873.348108,1708611872.037771,1708611872.04526,1708611873.441896
0,1708611873.58409,1708611872.254465,1708611872.254465,1708611873.66033
0,1708611873.792427,1708611872.463068,1708611872.471619,1708611873.871413
0,1708611873.995564,1708611872.67681,1708611872.681052,1708611874.090076
0,1708611874.235259,1708611872.959194,1708611872.962462,1708611874.372846
0,1708611874.514407,1708611873.185593,1708611873.192276,1708611874.590429
0,1708611874.713932,1708611873.385797,1708611873.385797,1708611874.790142
0,1708611874.914536,1708611873.587477,1708611873.5975149,1708611874.995624
0,1708611875.241515,1708611873.912866,1708611873.9181912,1708611875.31843
0,1708611875.532396,1708611874.39329,1708611874.401938,1708611876.703044
0,1708611876.82722,1708611875.497804,1708611875.513726,1708611876.919072
0,1708611877.056209,1708611875.736922,1708611875.747522,1708611877.139269
0,1708611877.269438,1708611875.939546,1708611875.947982,1708611877.348539
0,1708611877.479041,1708611876.14988,1708611876.1576269,1708611877.567232
0,1708611877.682077,1708611876.350703,1708611876.354906,1708611877.761139
0,1708611877.884164,1708611876.554847,1708611876.558833,1708611877.97898
0,1708611878.093051,1708611876.763219,1708611876.766489,1708611878.166813
0,1708611878.283233,1708611876.950892,1708611876.959318,1708611878.360777
0,1708611878.486194,1708611877.157012,1708611877.160449,1708611878.564668
